len;duration;runs
64;122;1
64;122;1
64;142;1
64;122;1
64;122;1
64;142;1
64;122;1
64;122;1
64;81;1
128;163;1
128;163;1
128;162;1
128;163;1
128;204;1
128;204;1
128;162;1
128;252;1
128;162;1
256;326;1
256;285;1
256;285;1
256;244;1
256;285;1
256;244;1
256;285;1
256;284;1
256;367;1
512;488;1
512;611;1
512;529;1
512;529;1
512;489;1
512;732;1
512;489;1
512;595;1
512;448;1
1024;936;1
1024;936;1
1024;935;1
1024;977;1
1024;983;1
1024;936;1
1024;936;1
1024;976;1
1024;936;1
2048;1831;1
2048;1995;1
2048;1790;1
2048;1750;1
2048;1790;1
2048;1872;1
2048;1831;1
2048;1790;1
2048;1545;1
4096;3540;1
4096;3540;1
4096;3541;1
4096;3540;1
4096;3540;1
4096;3499;1
4096;3540;1
4096;3499;1
4096;3499;1
8192;7243;1
8192;8952;1
8192;7284;1
8192;7039;1
8192;6998;1
8192;6999;1
8192;6998;1
8192;6958;1
8192;6958;1
16384;14038;1
16384;13916;1
16384;13916;1
16384;13916;1
16384;13916;1
16384;14038;1
16384;13916;1
16384;13957;1
16384;13957;1
32768;27791;1
32768;27791;1
32768;27913;1
32768;27832;1
32768;27792;1
32768;27751;1
32768;27873;1
32768;30233;1
32768;27791;1
65536;55582;1
65536;55583;1
65536;55827;1
65536;55624;1
65536;55623;1
65536;55501;1
65536;55664;1
65536;55542;1
65536;55542;1
131072;110880;1
131072;111206;1
131072;113078;1
131072;111653;1
131072;111206;1
131072;111003;1
131072;110962;1
131072;132894;1
131072;111002;1
262144;221761;1
262144;222005;1
262144;221802;1
262144;222127;1
262144;222127;1
262144;250447;1
262144;222005;1
262144;250041;1
262144;221679;1
524288;443481;1
524288;471680;1
524288;471272;1
524288;473104;1
524288;444703;1
524288;471313;1
524288;443888;1
524288;443440;1
524288;443319;1
1048576;941162;1
1048576;947917;1
1048576;940959;1
1048576;924235;1
1048576;888021;1
1048576;911743;1
1048576;916586;1
1048576;916992;1
1048576;887492;1
2097152;1774496;1
2097152;1774252;1
2097152;1851684;1
2097152;1803264;1
2097152;1810181;1
2097152;1774129;1
2097152;1773356;1
2097152;1775594;1
2097152;1810588;1
4194304;3548177;1
4194304;3549235;1
4194304;3570231;1
4194304;3581828;1
4194304;3577922;1
4194304;3579956;1
4194304;3581339;1
4194304;3549357;1
4194304;3625814;1
8388608;7150757;1
8388608;7128662;1
8388608;7118734;1
8388608;7107055;1
8388608;7115275;1
8388608;7096843;1
8388608;7187134;1
8388608;7096354;1
8388608;7104452;1
16777216;14262288;1
16777216;14222493;1
16777216;14221395;1
16777216;14342488;1
16777216;14227702;1
16777216;14301798;1
16777216;14192383;1
16777216;14378744;1
16777216;14286255;1
33554432;28415690;1
33554432;28563517;1
33554432;28655274;1
33554432;28510295;1
33554432;28445964;1
33554432;28490641;1
33554432;28415364;1
33554432;28413575;1
33554432;28413046;1
