size;duration
16;3111851442
16;3242206667
16;3296476279
16;3291793052
16;3121767173
16;3253992718
16;3119048667
16;3281270712
128;430065389
128;534438151
128;407164795
128;526512899
128;446400798
128;522672201
128;453356812
128;515223307
256;279825846
256;305144084
256;279115397
256;305245850
256;276338054
256;299176107
256;279743286
256;303388794
1024;106658895
1024;103449300
1024;113275553
1024;103346232
1024;107961467
1024;122394735
1024;133619263
1024;109075643
2048;93036377
2048;91528687
2048;88847046
2048;90448894
2048;87732504
2048;91464925
2048;90673421
2048;93949544
4096;197599568
4096;199658570
4096;199414876
4096;193707845
4096;187569580
4096;176300781
4096;179584595
4096;187204101
8192;196141438
8192;184364136
8192;172263876
8192;168186687
8192;163178223
8192;178959839
8192;174084839
8192;165783894
